nohup: ignoring input
part 290: 64194 rows
part 291: 64170 rows
part 292: 64065 rows
part 293: 64352 rows
part 294: 64801 rows
part 295: 64121 rows
part 296: 64403 rows
part 297: 64399 rows
part 298: 64565 rows
part 299: 64539 rows
part 300: 64115 rows
part 301: 64426 rows
part 302: 64307 rows
part 303: 64041 rows
part 304: 64225 rows
part 305: 64514 rows
part 306: 64937 rows
part 307: 64390 rows
part 308: 64248 rows
part 309: 64688 rows
part 310: 64210 rows
part 311: 64248 rows
part 312: 64979 rows
part 313: 64832 rows
part 314: 64596 rows
part 315: 64556 rows
part 316: 64426 rows
part 317: 64721 rows
part 318: 63992 rows
part 319: 64927 rows
part 320: 64512 rows
part 321: 64653 rows
part 322: 64976 rows
part 323: 64417 rows
part 324: 64583 rows
part 325: 64815 rows
part 326: 64389 rows
part 327: 64598 rows
part 328: 64051 rows
part 329: 64866 rows
part 330: 64275 rows
part 331: 64560 rows
part 332: 64735 rows
part 333: 64526 rows
part 334: 64429 rows
part 335: 64598 rows
part 336: 64313 rows
part 337: 64489 rows
part 338: 64612 rows
part 339: 64634 rows
part 340: 64812 rows
part 341: 64055 rows
part 342: 64339 rows
part 343: 63886 rows
part 344: 64407 rows
part 345: 64881 rows
part 346: 64510 rows
part 347: 65137 rows
part 348: 64334 rows
part 349: 64490 rows
part 350: 64146 rows
part 351: 64965 rows
part 352: 64506 rows
part 353: 64621 rows
part 354: 64744 rows
part 355: 64547 rows
part 356: 64441 rows
part 357: 64622 rows
part 358: 64175 rows
part 359: 64180 rows
part 360: 64847 rows
part 361: 65037 rows
part 362: 64195 rows
part 363: 64065 rows
part 364: 64131 rows
part 365: 64846 rows
part 366: 64353 rows
part 367: 64760 rows
part 368: 64705 rows
part 369: 64244 rows
part 370: 64525 rows
part 371: 64231 rows
part 372: 64827 rows
part 373: 64402 rows
part 374: 64235 rows
part 375: 64534 rows
part 376: 64700 rows
part 377: 64336 rows
part 378: 64434 rows
part 379: 64516 rows
part 380: 64348 rows
part 381: 63982 rows
part 382: 64523 rows
part 383: 64381 rows
part 384: 64942 rows
part 385: 64058 rows
part 386: 64106 rows
part 387: 64559 rows
part 388: 64647 rows
part 389: 64593 rows
part 390: 64317 rows
part 391: 64715 rows
part 392: 64430 rows
part 393: 64197 rows
part 394: 64394 rows
part 395: 64638 rows
part 396: 64629 rows
part 397: 64750 rows
part 398: 64584 rows
part 399: 64258 rows
part 400: 64622 rows
part 401: 64220 rows
part 402: 65068 rows
part 403: 64217 rows
part 404: 64259 rows
part 405: 64158 rows
part 406: 64687 rows
part 407: 64572 rows
part 408: 64461 rows
part 409: 64753 rows
part 410: 64612 rows
part 411: 64555 rows
part 412: 64961 rows
part 413: 65053 rows
part 414: 64427 rows
part 415: 64339 rows
part 416: 64559 rows
part 417: 64388 rows
part 418: 64888 rows
part 419: 64812 rows
part 420: 64071 rows
part 421: 64233 rows
part 422: 64595 rows
part 423: 64343 rows
part 424: 64759 rows
part 425: 64657 rows
part 426: 64321 rows
part 427: 64157 rows
part 428: 63981 rows
part 429: 64322 rows
part 430: 64806 rows
part 431: 64322 rows
part 432: 64415 rows
part 433: 64434 rows
part 434: 64372 rows
part 435: 64251 rows
part 436: 64377 rows
part 437: 64441 rows
part 438: 64771 rows
part 439: 64547 rows
part 440: 64653 rows
part 441: 64994 rows
part 442: 65217 rows
part 443: 64232 rows
part 444: 64693 rows
part 445: 64626 rows
part 446: 64527 rows
part 447: 64153 rows
part 448: 64590 rows
part 449: 64077 rows
part 450: 64402 rows
part 451: 64746 rows
part 452: 64391 rows
part 453: 64405 rows
part 454: 64187 rows
part 455: 64749 rows
part 456: 64553 rows
part 457: 64736 rows
part 458: 64392 rows
part 459: 64345 rows
part 460: 64443 rows
part 461: 64203 rows
part 462: 64641 rows
part 463: 64623 rows
part 464: 64474 rows
part 465: 64279 rows
part 466: 64565 rows
part 467: 64730 rows
part 468: 64434 rows
part 469: 63980 rows
part 470: 63988 rows
part 471: 64363 rows
part 472: 64913 rows
part 473: 64762 rows
part 474: 64802 rows
part 475: 64685 rows
part 476: 64428 rows
part 477: 64360 rows
part 478: 64622 rows
part 479: 64622 rows
part 480: 63981 rows
part 481: 64466 rows
part 482: 64744 rows
part 483: 64576 rows
part 484: 64310 rows
part 485: 64301 rows
part 486: 64775 rows
part 487: 64797 rows
part 488: 64741 rows
part 489: 64776 rows
part 490: 64499 rows
part 491: 64570 rows
part 492: 64759 rows
part 493: 64610 rows
part 494: 64486 rows
part 495: 64773 rows
part 496: 64557 rows
part 497: 64122 rows
part 498: 64849 rows
part 499: 64371 rows
part 500: 64633 rows
part 501: 64016 rows
part 502: 64716 rows
part 503: 64502 rows
part 504: 64971 rows
part 505: 64650 rows
part 506: 64519 rows
part 507: 64477 rows
part 508: 64354 rows
part 509: 64686 rows
part 510: 64344 rows
part 511: 64241 rows
part 512: 64510 rows
part 513: 63999 rows
part 514: 64359 rows
part 515: 64838 rows
part 516: 64341 rows
part 517: 64570 rows
part 518: 64815 rows
part 519: 64282 rows
part 520: 64500 rows
part 521: 64413 rows
part 522: 64791 rows
part 523: 64802 rows
part 524: 64601 rows
part 525: 64191 rows
part 526: 64074 rows
part 527: 64047 rows
part 528: 64674 rows
part 529: 64089 rows
part 530: 64772 rows
part 531: 64857 rows
part 532: 64491 rows
part 533: 64334 rows
part 534: 64549 rows
part 535: 64593 rows
part 536: 64718 rows
part 537: 64740 rows
part 538: 64720 rows
part 539: 64815 rows
part 540: 64331 rows
part 541: 64711 rows
part 542: 64557 rows
part 543: 64936 rows
part 544: 64505 rows
part 545: 64828 rows
part 546: 64272 rows
part 547: 64843 rows
part 548: 64769 rows
part 549: 64508 rows
part 550: 64817 rows
part 551: 64578 rows
part 552: 64465 rows
part 553: 64524 rows
part 554: 64798 rows
part 555: 64289 rows
part 556: 64818 rows
part 557: 64285 rows
part 558: 64248 rows
part 559: 64307 rows
part 560: 64649 rows
part 561: 64559 rows
part 562: 65269 rows
part 563: 64057 rows
part 564: 64342 rows
part 565: 64116 rows
part 566: 64134 rows
part 567: 64568 rows
part 568: 64724 rows
part 569: 64729 rows
part 570: 64565 rows
part 571: 64907 rows
part 572: 64430 rows
part 573: 64459 rows
part 574: 64626 rows
part 575: 64539 rows
part 576: 64619 rows
part 577: 65163 rows
part 578: 64110 rows
part 579: 64973 rows
part 580: 64649 rows
part 581: 64478 rows
part 582: 64374 rows
part 583: 64439 rows
part 584: 64381 rows
part 585: 64492 rows
part 586: 64046 rows
part 587: 64451 rows
part 588: 64312 rows
part 589: 64611 rows
part 590: 64218 rows
part 591: 64850 rows
part 592: 64797 rows
part 593: 64159 rows
part 594: 64760 rows
part 595: 64038 rows
part 596: 64185 rows
part 597: 64587 rows
part 598: 64428 rows
part 599: 64451 rows
part 600: 64583 rows
part 601: 64408 rows
part 602: 64489 rows
part 603: 64605 rows
part 604: 64539 rows
part 605: 64771 rows
part 606: 64423 rows
part 607: 64277 rows
part 608: 64585 rows
part 609: 64108 rows
part 610: 64262 rows
part 611: 63991 rows
part 612: 64249 rows
part 613: 64905 rows
part 614: 64546 rows
part 615: 64499 rows
part 616: 64480 rows
part 617: 64610 rows
part 618: 64091 rows
part 619: 64465 rows
part 620: 64469 rows
part 621: 64560 rows
part 622: 64356 rows
part 623: 64490 rows
part 624: 64430 rows
part 625: 64943 rows
part 626: 64406 rows
part 627: 64642 rows
part 628: 64326 rows
part 629: 64447 rows
part 630: 64540 rows
part 631: 64751 rows
part 632: 64432 rows
part 633: 64668 rows
part 634: 64588 rows
part 635: 64306 rows
part 636: 64682 rows
part 637: 64312 rows
part 638: 64563 rows
part 639: 64170 rows
part 640: 64083 rows
part 641: 64458 rows
part 642: 64600 rows
part 643: 64627 rows
part 644: 64819 rows
part 645: 64718 rows
part 646: 64429 rows
part 647: 64218 rows
part 648: 64492 rows
part 649: 64720 rows
part 650: 64602 rows
part 651: 64729 rows
part 652: 65331 rows
part 653: 64327 rows
part 654: 64695 rows
part 655: 63956 rows
part 656: 64464 rows
part 657: 64598 rows
part 658: 64800 rows
part 659: 64486 rows
part 660: 64267 rows
part 661: 64897 rows
part 662: 64280 rows
part 663: 64658 rows
part 664: 64932 rows
part 665: 64581 rows
part 666: 64658 rows
part 667: 64358 rows
part 668: 64619 rows
part 669: 64738 rows
part 670: 63920 rows
part 671: 64377 rows
part 672: 64709 rows
part 673: 64164 rows
part 674: 64801 rows
part 675: 64684 rows
part 676: 64893 rows
part 677: 64869 rows
part 678: 64768 rows
part 679: 64322 rows
part 680: 64814 rows
part 681: 64229 rows
part 682: 64415 rows
part 683: 64342 rows
part 684: 64464 rows
part 685: 64329 rows
part 686: 64573 rows
part 687: 64331 rows
part 688: 64466 rows
part 689: 64617 rows
part 690: 64692 rows
part 691: 64561 rows
part 692: 64053 rows
part 693: 64476 rows
part 694: 64540 rows
part 695: 64159 rows
part 696: 64268 rows
